"type.keyword: Descending",Timestamp,Attacks
Rdpy,"2021-09-27 12:00",24
Rdpy,"2021-09-28 00:00",261
Rdpy,"2021-09-28 12:00","34,474"
Rdpy,"2021-09-29 00:00","3,153"
Rdpy,"2021-09-29 12:00","7,640"
Rdpy,"2021-09-30 00:00","8,158"
Rdpy,"2021-09-30 12:00","2,976"
Rdpy,"2021-10-01 00:00",659
Rdpy,"2021-10-01 12:00",548
Rdpy,"2021-10-02 00:00",273
Rdpy,"2021-10-02 12:00",718
Rdpy,"2021-10-03 00:00","1,848"
Rdpy,"2021-10-03 12:00","4,865"
Rdpy,"2021-10-04 00:00","4,298"
Rdpy,"2021-10-04 12:00","3,311"
Rdpy,"2021-10-05 00:00","3,019"
Rdpy,"2021-10-05 12:00","2,642"
Rdpy,"2021-10-06 00:00","2,981"
Rdpy,"2021-10-06 12:00","2,608"
Rdpy,"2021-10-07 00:00","2,317"
Rdpy,"2021-10-07 12:00","5,391"
Rdpy,"2021-10-08 00:00","5,548"
Rdpy,"2021-10-08 12:00","7,250"
Rdpy,"2021-10-09 00:00","7,201"
Rdpy,"2021-10-09 12:00","7,139"
Rdpy,"2021-10-10 00:00","7,637"
Rdpy,"2021-10-10 12:00","7,499"
Rdpy,"2021-10-11 00:00","8,651"
Rdpy,"2021-10-11 12:00","9,274"
Rdpy,"2021-10-12 00:00","13,563"
Rdpy,"2021-10-12 12:00","14,399"
Rdpy,"2021-10-13 00:00","27,468"
Rdpy,"2021-10-13 12:00","25,784"
Rdpy,"2021-10-14 00:00","21,095"
Rdpy,"2021-10-14 12:00","8,934"
Rdpy,"2021-10-15 00:00","7,616"
Rdpy,"2021-10-15 12:00","8,818"
Honeytrap,"2021-09-26 00:00",1
Honeytrap,"2021-09-26 12:00",3
Honeytrap,"2021-09-27 00:00",9
Honeytrap,"2021-09-27 12:00","1,103"
Honeytrap,"2021-09-28 00:00","1,924"
Honeytrap,"2021-09-28 12:00","4,798"
Honeytrap,"2021-09-29 00:00","2,131"
Honeytrap,"2021-09-29 12:00","2,318"
Honeytrap,"2021-09-30 00:00","1,855"
Honeytrap,"2021-09-30 12:00","3,330"
Honeytrap,"2021-10-01 00:00","1,924"
Honeytrap,"2021-10-01 12:00","5,501"
Honeytrap,"2021-10-02 00:00","1,827"
Honeytrap,"2021-10-02 12:00","1,857"
Honeytrap,"2021-10-03 00:00","3,561"
Honeytrap,"2021-10-03 12:00","4,693"
Honeytrap,"2021-10-04 00:00","3,557"
Honeytrap,"2021-10-04 12:00","4,744"
Honeytrap,"2021-10-05 00:00","3,016"
Honeytrap,"2021-10-05 12:00","2,196"
Honeytrap,"2021-10-06 00:00","6,253"
Honeytrap,"2021-10-06 12:00","9,305"
Honeytrap,"2021-10-07 00:00","2,110"
Honeytrap,"2021-10-07 12:00","47,424"
Honeytrap,"2021-10-08 00:00","2,541"
Honeytrap,"2021-10-08 12:00",548
Honeytrap,"2021-10-09 12:00","7,554"
Honeytrap,"2021-10-10 00:00","3,715"
Honeytrap,"2021-10-10 12:00","7,426"
Honeytrap,"2021-10-11 00:00","2,356"
Honeytrap,"2021-10-11 12:00","2,819"
Honeytrap,"2021-10-12 00:00","19,016"
Honeytrap,"2021-10-12 12:00","10,229"
Honeytrap,"2021-10-13 00:00","2,553"
Honeytrap,"2021-10-13 12:00","5,377"
Honeytrap,"2021-10-14 00:00","2,769"
Honeytrap,"2021-10-14 12:00","3,558"
Honeytrap,"2021-10-15 00:00","11,748"
Honeytrap,"2021-10-15 12:00","4,300"
Cowrie,"2021-09-26 00:00","2,133"
Cowrie,"2021-09-26 12:00","3,537"
Cowrie,"2021-09-27 00:00","4,801"
Cowrie,"2021-09-27 12:00","2,449"
Cowrie,"2021-09-28 00:00","3,397"
Cowrie,"2021-09-28 12:00","3,645"
Cowrie,"2021-09-29 00:00","3,643"
Cowrie,"2021-09-29 12:00","1,628"
Cowrie,"2021-09-30 00:00",873
Cowrie,"2021-09-30 12:00","1,125"
Cowrie,"2021-10-01 00:00","1,114"
Cowrie,"2021-10-01 12:00",982
Cowrie,"2021-10-02 00:00","1,916"
Cowrie,"2021-10-02 12:00","1,397"
Cowrie,"2021-10-03 00:00","1,200"
Cowrie,"2021-10-03 12:00","2,630"
Cowrie,"2021-10-04 00:00","2,743"
Cowrie,"2021-10-04 12:00","1,868"
Cowrie,"2021-10-05 00:00","1,679"
Cowrie,"2021-10-05 12:00","1,809"
Cowrie,"2021-10-06 00:00","2,217"
Cowrie,"2021-10-06 12:00","1,312"
Cowrie,"2021-10-07 00:00","1,668"
Cowrie,"2021-10-07 12:00","1,126"
Cowrie,"2021-10-08 00:00","2,392"
Cowrie,"2021-10-08 12:00",935
Cowrie,"2021-10-09 00:00",949
Cowrie,"2021-10-09 12:00","1,249"
Cowrie,"2021-10-10 00:00","1,043"
Cowrie,"2021-10-10 12:00","1,338"
Cowrie,"2021-10-11 00:00","1,287"
Cowrie,"2021-10-11 12:00","1,216"
Cowrie,"2021-10-12 00:00","1,302"
Cowrie,"2021-10-12 12:00","3,021"
Cowrie,"2021-10-13 00:00","1,101"
Cowrie,"2021-10-13 12:00","1,398"
Cowrie,"2021-10-14 00:00","1,866"
Cowrie,"2021-10-14 12:00",900
Cowrie,"2021-10-15 00:00","1,688"
Cowrie,"2021-10-15 12:00","2,934"
Heralding,"2021-09-27 12:00",21
Heralding,"2021-09-28 12:00",1
Heralding,"2021-09-29 00:00",1
Heralding,"2021-09-30 00:00",50
Heralding,"2021-09-30 12:00",12
Heralding,"2021-10-01 00:00","7,132"
Heralding,"2021-10-01 12:00",1
Heralding,"2021-10-02 00:00",233
Heralding,"2021-10-02 12:00",659
Heralding,"2021-10-03 00:00","3,471"
Heralding,"2021-10-04 00:00","13,970"
Heralding,"2021-10-05 12:00","1,001"
Heralding,"2021-10-06 00:00",118
Heralding,"2021-10-06 12:00",103
Heralding,"2021-10-07 12:00",1
Heralding,"2021-10-08 12:00","1,385"
Heralding,"2021-10-09 00:00",6
Heralding,"2021-10-09 12:00",946
Heralding,"2021-10-10 00:00",2
Heralding,"2021-10-10 12:00","1,925"
Heralding,"2021-10-11 00:00","4,418"
Heralding,"2021-10-11 12:00",1
Heralding,"2021-10-13 12:00",105
Heralding,"2021-10-14 12:00",117
Adbhoney,"2021-09-26 00:00",157
Adbhoney,"2021-09-26 12:00",263
Adbhoney,"2021-09-27 00:00",284
Adbhoney,"2021-09-27 12:00",248
Adbhoney,"2021-09-28 00:00",243
Adbhoney,"2021-09-28 12:00",231
Adbhoney,"2021-09-29 00:00",262
Adbhoney,"2021-09-29 12:00",315
Adbhoney,"2021-09-30 00:00",224
Adbhoney,"2021-09-30 12:00",205
Adbhoney,"2021-10-01 00:00",255
Adbhoney,"2021-10-01 12:00",239
Adbhoney,"2021-10-02 00:00",310
Adbhoney,"2021-10-02 12:00",293
Adbhoney,"2021-10-03 00:00",298
Adbhoney,"2021-10-03 12:00",306
Adbhoney,"2021-10-04 00:00",260
Adbhoney,"2021-10-04 12:00",244
Adbhoney,"2021-10-05 00:00",264
Adbhoney,"2021-10-05 12:00",257
Adbhoney,"2021-10-06 00:00",275
Adbhoney,"2021-10-06 12:00",240
Adbhoney,"2021-10-07 00:00",208
Adbhoney,"2021-10-07 12:00",193
Adbhoney,"2021-10-08 00:00",214
Adbhoney,"2021-10-08 12:00",125
Adbhoney,"2021-10-09 00:00",68
Adbhoney,"2021-10-09 12:00",66
Adbhoney,"2021-10-10 00:00",196
Adbhoney,"2021-10-10 12:00",256
Adbhoney,"2021-10-11 00:00",259
Adbhoney,"2021-10-11 12:00",252
Adbhoney,"2021-10-12 00:00",239
Adbhoney,"2021-10-12 12:00",247
Adbhoney,"2021-10-13 00:00",200
Adbhoney,"2021-10-13 12:00",219
Adbhoney,"2021-10-14 00:00",243
Adbhoney,"2021-10-14 12:00",151
Adbhoney,"2021-10-15 00:00",236
Adbhoney,"2021-10-15 12:00",257
